CountryCode,SeriesCode,DESCRIPTION
"BIH","SG.POP.MIGR.FE.ZS","There were no data on international migrants for the country or area concerned and that the estimates presented were imputed. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BIH","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BLR","SP.DYN.CDRT.IN","Data source: Eurostat, TransMONEE, United Nations World Population Prospects"
"BLR","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"BLR","IT.NET.USER.ZS","Beltelecom. From 2003: Ministry of Communications and Informatization."
"BLR","SP.DYN.LE00.FE.IN","Data source: National Statistical Committee of the Republic of Belarus; United Nations World Population Prospects"
"BLR","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BLR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"BLR","SP.DYN.LE00.MA.IN","Data source: National Statistical Committee of the Republic of Belarus; United Nations World Population Prospects"
"BLR","SP.POP.TOTL","Data source: National Statistical Committee of the Republic of Belarus, Eurostat"
"BLR","SP.DYN.CBRT.IN","Data source: Eurostat, TransMONEE, United Nations World Population Prospects"
"BLR","SP.DYN.TFRT.IN","Data source: Eurostat, National Statistical Committee of the Republic of Belarus, United Nations World Population Prospects"
"BLR","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BLZ","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BLZ","IT.NET.USER.ZS","Belize Telecommunications Ltd (BTL)."
"BLZ","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BLZ","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BLZ","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
